DATE,POPTOTMXA647NWDB
1960-01-01,36268055
1961-01-01,37439317
1962-01-01,38683283
1963-01-01,39982118
1964-01-01,41333878
1965-01-01,42737991
1966-01-01,44180437
1967-01-01,45656963
1968-01-01,47170337
1969-01-01,48714394
1970-01-01,50289306
1971-01-01,51897675
1972-01-01,53543436
1973-01-01,55228203
1974-01-01,56945880
1975-01-01,58691882
1976-01-01,60452543
1977-01-01,62262505
1978-01-01,64123997
1979-01-01,65972912
1980-01-01,67705186
1981-01-01,69233769
1982-01-01,70656783
1983-01-01,72080310
1984-01-01,73489654
1985-01-01,74872006
1986-01-01,76224365
1987-01-01,77553504
1988-01-01,78892015
1989-01-01,80233749
1990-01-01,81720428
1991-01-01,83351595
1992-01-01,84993164
1993-01-01,86648447
1994-01-01,88314424
1995-01-01,89969572
1996-01-01,91586555
1997-01-01,93183094
1998-01-01,94767284
1999-01-01,96334810
2000-01-01,97873442
2001-01-01,99394288
2002-01-01,100917081
2003-01-01,102429341
2004-01-01,103945813
2005-01-01,105442402
2006-01-01,106886790
2007-01-01,108302973
2008-01-01,109684489
2009-01-01,111049428
2010-01-01,112532401
2011-01-01,114150481
2012-01-01,115755909
2013-01-01,117290686
2014-01-01,118755887
2015-01-01,120149897
2016-01-01,121519221
2017-01-01,122839258
2018-01-01,124013861
2019-01-01,125085311
2020-01-01,125998302
2021-01-01,126705138
2022-01-01,127504125
