,,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Argentina,"National Accounts, Expenditure, Gross Domestic Product, Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,727.00","28,636.40","29,327.10","29,998.00","32,247.00","33,105.90","33,145.60","32,098.50","34,189.80","33,768.20","34,070.70","35,831.10","35,710.50","36,029.50","37,634.00","39,741.10","38,375.20","34,576.80","41,183.40","36,083.20","35,767.20","34,159.90","31,836.00","34,414.30","35,451.40","40,642.80","40,603.40","38,404.20","39,442.40","39,465.20","41,211.80","41,417.30","41,459.00","35,685.60","38,771.90","38,983.90","37,455.10","38,830.50","37,972.50","35,189.30","33,668.60","35,221.80","35,045.10","35,081.80","32,444.20","34,960.80","35,248.90","32,502.30","36,471.70","35,170.50","34,947.20","35,753.60","36,250.40","36,308.10","36,580.80","36,926.60","38,603.90","33,395.60","34,052.90","40,957.00","38,870.10","38,721.70","39,327.90","44,424.60","37,788.40","32,766.20","31,923.10","30,289.70","34,119.90","35,268.10","38,325.00","37,292.20","37,340.30","38,129.60","37,280.40","40,527.90"
Argentina,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,830.30","117,597.80","123,519.00","125,168.00","128,796.40","131,642.20","132,580.10","135,037.20","138,573.60","140,377.40","144,270.20","147,328.20","150,787.60","154,091.10","156,144.90","160,919.00","162,455.00","163,284.20","164,557.70","156,879.30","151,119.00","147,708.40","153,561.40","156,484.10","161,189.90","168,327.80","169,360.10","171,645.80","175,644.20","177,380.70","178,863.80","178,892.90","176,936.30","170,980.50","176,278.00","179,291.20","179,226.50","180,310.50","181,292.60","179,577.40","176,886.20","175,807.80","174,319.20","175,292.90","177,867.30","181,902.90","181,890.90","179,826.00","178,226.70","175,253.40","175,977.00","177,020.60","178,600.70","180,457.10","182,750.20","184,581.90","183,940.40","175,576.90","175,119.40","172,740.70","172,802.10","174,192.70","174,330.40","171,898.70","164,446.10","139,837.90","156,211.10","163,799.80","169,338.40","167,878.10","173,911.20","178,083.00","179,692.90","181,142.20","183,669.90","180,841.30"
Argentina,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,551.70","19,243.60","19,517.70","19,790.10","21,340.20","21,917.00","22,126.10","23,924.10","24,312.10","25,221.30","26,033.30","26,666.00","29,029.30","30,420.90","31,453.80","32,238.60","34,850.60","35,501.80","33,567.70","29,930.20","25,914.30","24,517.40","25,850.20","27,354.50","29,570.90","32,281.60","33,441.10","35,552.20","37,468.10","38,359.70","39,462.40","38,293.80","36,280.20","33,504.40","35,843.70","37,089.40","36,531.80","36,837.90","36,486.70","36,200.20","35,410.60","34,809.80","33,456.00","32,513.30","34,518.60","35,412.00","35,731.70","35,242.90","33,681.10","32,755.50","32,836.20","33,490.30","34,722.30","36,681.60","38,757.60","40,366.00","40,273.50","37,161.00","34,227.40","30,216.80","30,138.20","30,693.90","30,832.00","27,582.70","24,954.70","18,868.50","28,132.20","31,838.60","34,162.60","33,612.90","34,220.80","36,490.80","37,731.50","39,996.30","39,346.20","36,517.20"
Argentina,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,181.40","20,157.30","20,585.90","21,793.20","22,255.20","24,593.30","23,261.60","24,558.40","25,310.60","25,870.70","26,239.80","27,653.30","29,482.30","30,205.90","32,355.90","33,667.30","36,429.30","37,769.90","36,053.30","32,508.00","28,715.40","27,019.00","28,985.60","31,749.30","34,802.10","39,055.70","40,458.30","43,155.40","45,584.50","47,856.90","49,868.50","48,850.30","46,523.80","43,198.20","45,554.50","47,797.90","46,437.00","48,489.70","47,668.80","47,587.40","45,446.00","42,695.90","40,737.80","39,470.20","41,679.60","43,572.20","45,774.00","45,255.60","46,379.50","46,708.50","45,928.10","47,532.30","49,992.70","52,422.70","54,790.50","58,413.90","57,883.20","54,670.40","49,591.00","43,855.60","43,336.80","42,632.40","42,365.80","39,148.80","36,832.80","29,415.30","32,900.10","37,417.60","38,426.50","40,642.40","41,792.70","45,776.00","48,784.90","50,062.30","50,521.60","46,190.50"
Argentina,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,302.60","76,298.60","79,332.90","81,147.80","80,405.30","85,806.90","82,970.40","85,970.20","88,335.80","93,151.60","95,229.40","95,156.00","97,881.10","100,865.50","103,032.90","104,822.10","109,637.40","110,175.10","108,938.10","107,307.80","101,961.80","98,768.70","106,812.20","104,978.80","109,360.40","114,195.80","115,737.70","119,381.30","122,773.90","123,687.80","127,154.70","128,030.80","124,309.00","123,922.00","128,767.00","130,218.90","130,186.40","128,750.60","133,735.30","133,002.20","129,728.40","124,887.30","122,729.70","125,419.00","127,884.80","131,776.60","130,860.60","130,624.60","130,285.20","127,978.00","128,930.10","129,886.80","132,336.00","133,909.60","134,605.60","137,731.50","137,665.20","135,083.50","130,333.10","123,405.70","122,585.60","126,817.70","124,141.80","120,685.00","115,228.20","95,621.50","104,822.50","110,690.20","113,628.50","115,301.90","118,153.20","122,020.80","126,693.30","128,801.10","129,959.40","127,966.00"
Italy,"National Accounts, Expenditure, Gross Domestic Product, Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,"76,410.11","76,080.38","76,007.04","77,068.13","77,642.46","80,111.35","81,319.42","82,402.43","84,165.38","83,741.43","81,527.69","79,939.52","79,388.43","79,477.05","81,408.42","84,872.17","89,078.10","89,558.22","93,469.92","95,338.38","94,786.53","96,128.95","93,083.07","91,788.09","91,442.71","91,226.76","90,988.22","92,719.67","91,081.49","88,008.19","90,107.88","91,374.11","92,867.21","95,318.36","96,643.79","95,543.99","96,296.33","98,262.62","99,520.69","101,746.86","104,799.57","106,576.18","106,570.21","112,322.38","112,427.22","113,163.43","114,778.26","113,831.70","115,452.04","112,712.06","108,813.46","101,729.88","90,129.71","88,129.92","90,471.38","92,382.54","95,490.00","99,558.54","102,427.56","104,617.39","105,885.71","107,126.13","107,296.64","107,075.47","107,657.77","108,680.43","110,157.97","108,508.41","109,050.96","108,508.41","110,206.17","109,736.87","110,554.21","111,084.33","111,983.64","114,084.28","116,222.78","117,291.65","115,177.54","117,579.72","117,007.95","118,143.24","119,219.89","121,184.85","124,340.04","124,435.87","126,827.81","128,484.68","126,535.09","126,696.11","128,826.64","129,989.16","129,949.31","131,648.40","129,886.02","129,831.94","121,723.41","89,518.18","115,902.45","119,822.12","122,595.59","126,659.48","129,908.70","130,821.11","137,782.38","140,234.19","140,206.11","143,784.76"
Italy,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,"357,430.13","356,966.25","357,406.61","356,215.44","357,479.90","362,298.31","364,805.03","371,363.92","368,556.35","370,710.57","371,220.74","369,184.02","371,729.59","373,018.32","376,310.27","381,812.61","386,061.78","389,215.45","391,607.58","397,486.22","399,854.27","398,454.15","397,192.04","396,398.71","397,056.39","398,494.42","399,310.61","401,004.42","399,582.58","399,051.24","398,717.56","402,229.09","403,288.75","404,887.74","404,671.36","405,966.87","404,922.07","408,200.48","410,792.52","411,423.20","412,038.73","414,954.20","416,943.32","422,349.51","421,191.17","422,335.59","423,216.22","421,696.45","426,610.63","422,559.02","417,211.81","405,787.56","395,665.40","393,694.06","396,191.09","397,498.45","398,852.65","401,631.34","403,421.67","405,583.14","407,685.52","407,868.68","405,877.40","401,953.17","397,390.45","394,655.32","392,635.25","389,725.52","385,940.23","386,085.77","386,922.56","386,131.77","386,793.49","386,608.07","387,141.85","385,748.51","387,116.07","388,600.67","389,281.11","391,291.30","392,770.34","393,399.23","395,484.59","396,697.87","398,753.50","400,469.99","402,224.48","404,386.50","403,951.60","404,132.13","404,642.11","405,823.31","406,592.75","407,469.15","407,720.89","404,455.74","381,075.44","335,073.17","382,826.27","380,194.06","382,011.49","391,247.37","402,601.15","406,326.98","406,854.74","411,049.16","412,682.20","412,142.12"
Italy,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,"68,607.93","69,313.14","69,092.11","67,494.30","68,415.11","69,054.65","70,030.75","72,766.87","71,891.24","72,411.93","72,851.89","73,825.60","74,586.10","75,249.38","76,333.55","77,296.97","80,257.84","81,292.17","82,093.75","81,721.46","83,074.22","84,105.12","83,213.09","83,300.02","86,153.57","84,640.49","86,471.82","89,203.18","86,455.62","86,571.61","85,206.07","86,535.39","87,324.77","87,692.48","86,637.28","87,242.80","87,777.31","88,674.29","89,627.32","89,669.45","90,243.70","90,695.58","90,827.11","93,679.52","93,327.15","92,640.52","92,691.32","91,255.35","92,624.41","91,165.47","89,396.95","84,728.84","81,834.31","80,897.48","79,231.71","80,937.32","79,634.50","80,953.62","80,748.99","80,689.99","80,794.83","80,254.41","79,460.27","77,929.18","73,565.50","72,455.39","71,285.44","69,717.17","67,514.41","67,657.00","67,356.19","66,035.26","65,960.06","65,559.56","65,552.12","65,885.24","66,016.01","66,844.27","66,904.89","67,177.00","68,742.32","68,833.91","69,923.43","70,618.35","70,334.22","71,231.87","72,409.17","73,579.51","73,334.94","74,484.97","73,917.77","73,979.25","74,547.12","75,306.95","75,125.19","74,307.03","68,175.21","58,022.27","74,286.06","74,738.88","77,655.63","80,426.36","82,961.18","85,378.68","88,306.48","89,246.07","89,416.68","91,175.76"
Italy,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,"65,880.17","63,600.85","63,524.63","66,034.35","67,384.32","71,379.53","73,041.95","74,553.98","78,146.34","77,682.06","77,039.20","78,682.27","79,928.52","79,435.66","81,291.04","84,293.42","86,555.83","89,532.84","93,504.33","94,326.74","92,453.08","93,921.95","93,330.61","91,629.50","92,728.97","92,356.45","92,596.08","96,537.72","95,884.36","93,796.45","92,714.97","94,097.13","96,348.74","97,856.69","98,377.65","99,228.83","100,207.66","101,898.07","101,871.14","104,065.89","108,292.75","109,099.90","110,530.76","114,499.53","115,565.16","115,482.34","117,312.15","115,516.07","115,542.02","113,978.18","110,407.69","104,442.10","97,494.67","94,153.99","96,055.75","98,615.23","103,715.35","106,413.46","108,862.03","113,340.57","111,997.30","110,621.17","109,504.89","105,302.04","102,743.62","100,795.59","100,533.32","97,284.02","97,296.46","96,668.18","98,331.96","98,452.11","99,240.69","101,034.93","101,507.48","102,034.95","106,508.53","107,677.70","106,675.35","108,297.32","109,675.01","111,248.67","112,020.73","114,229.08","115,627.96","118,193.77","120,038.07","122,620.20","120,325.52","122,449.89","122,431.51","124,684.59","121,466.69","122,443.28","122,509.19","120,804.19","113,642.51","91,096.98","106,676.03","114,026.30","118,031.52","119,249.78","123,220.39","129,947.24","135,245.28","137,297.22","140,673.39","138,337.39"
Italy,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,"207,084.91","207,027.09","206,468.91","208,202.38","209,158.88","214,088.91","216,562.97","217,796.74","219,059.23","221,052.44","222,880.66","223,798.45","224,933.08","227,193.20","229,199.09","229,997.32","231,389.73","233,182.04","234,218.65","236,079.33","236,430.37","235,607.70","234,464.77","234,689.72","235,117.05","234,298.02","234,974.64","236,471.87","235,915.19","236,338.32","237,348.54","237,355.44","238,476.45","239,054.68","238,935.86","240,254.96","239,927.89","241,930.33","243,828.22","243,907.40","244,792.27","244,773.24","245,671.45","247,039.33","248,217.33","249,076.93","248,762.91","248,271.23","248,012.52","246,585.98","245,238.25","243,227.70","241,456.18","241,492.09","242,168.71","243,405.55","243,512.80","243,625.28","245,363.03","246,356.19","246,211.81","246,281.30","245,093.88","241,468.77","237,959.68","236,434.29","234,770.67","233,483.28","230,620.31","229,487.17","229,806.78","229,826.37","229,588.92","229,651.13","230,519.59","231,319.69","232,377.28","234,489.95","235,366.43","236,175.95","236,655.04","236,976.89","237,638.49","238,482.51","239,973.87","240,826.75","241,468.40","241,841.45","243,059.92","243,316.86","243,586.39","243,603.08","242,998.09","243,201.87","244,996.51","244,452.89","224,627.18","200,198.23","227,971.85","221,227.58","216,782.33","226,181.21","235,396.00","236,565.32","233,939.98","239,000.03","244,202.10","240,282.57"
